
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation

OSC           , Input  , PIN_AB6     ,,,,,,,,,
CPU_RESET     , Input  , PIN_V34     ,,,,,,,,,
FAN_CTRL      , Output , PIN_AP20    ,,,,,,,,,

# hardware interface
SW[0]         , Input  , PIN_J7      ,,,,,,,,,
SW[1]         , Input  , PIN_K7      ,,,,,,,,,
SW[2]         , Input  , PIN_AK6     ,,,,,,,,,
SW[3]         , Input  , PIN_L7      ,,,,,,,,,

BUTTON[0]     , Input  , PIN_AH5     ,,,,,,,,,
BUTTON[1]     , Input  , PIN_AG5     ,,,,,,,,,
BUTTON[2]     , Input  , PIN_AG7     ,,,,,,,,,
BUTTON[3]     , Input  , PIN_AG8     ,,,,,,,,,

LED[0]        , Output , PIN_V28     ,,,,,,,,,
LED[1]        , Output , PIN_W28     ,,,,,,,,,
LED[2]        , Output , PIN_R29     ,,,,,,,,,
LED[3]        , Output , PIN_P29     ,,,,,,,,,
LED[4]        , Output , PIN_N29     ,,,,,,,,,
LED[5]        , Output , PIN_M29     ,,,,,,,,,
LED[6]        , Output , PIN_M30     ,,,,,,,,,
LED[7]        , Output , PIN_N30     ,,,,,,,,,

SEG0[0]       , Output , PIN_L34     ,,,,,,,,,
SEG0[1]       , Output , PIN_M34     ,,,,,,,,,
SEG0[2]       , Output , PIN_M33     ,,,,,,,,,
SEG0[3]       , Output , PIN_H31     ,,,,,,,,,
SEG0[4]       , Output , PIN_J33     ,,,,,,,,,
SEG0[5]       , Output , PIN_L35     ,,,,,,,,,
SEG0[6]       , Output , PIN_K32     ,,,,,,,,,
SEG0[7]       , Output , PIN_AL34    ,,,,,,,,,

SEG1[0]       , Output , PIN_E31     ,,,,,,,,,
SEG1[1]       , Output , PIN_F31     ,,,,,,,,,
SEG1[2]       , Output , PIN_G31     ,,,,,,,,,
SEG1[3]       , Output , PIN_C34     ,,,,,,,,,
SEG1[4]       , Output , PIN_C33     ,,,,,,,,,
SEG1[5]       , Output , PIN_D33     ,,,,,,,,,
SEG1[6]       , Output , PIN_D34     ,,,,,,,,,
SEG1[7]       , Output , PIN_AL35    ,,,,,,,,,

DSW[0]        , Output , PIN_AB13     ,,,,,,,,,
