
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation

OSC           , Input  , PIN_AB6     ,,,,,,,,,
CPU_RESET     , Input  , PIN_V34     ,,,,,,,,,
FAN_CTRL      , Output , PIN_AP20    ,,,,,,,,,

SW[0]         , Input  , PIN_J7      ,,,,,,,,,
SW[1]         , Input  , PIN_K7      ,,,,,,,,,
SW[2]         , Input  , PIN_AK6     ,,,,,,,,,
SW[3]         , Input  , PIN_L7      ,,,,,,,,,

BUTTON[0]     , Input  , PIN_AH5     ,,,,,,,,,
BUTTON[1]     , Input  , PIN_AG5     ,,,,,,,,,
BUTTON[2]     , Input  , PIN_AG7     ,,,,,,,,,
BUTTON[3]     , Input  , PIN_AG8     ,,,,,,,,,

LED[0]        , Output , PIN_V28     ,,,,,,,,,
LED[1]        , Output , PIN_W28     ,,,,,,,,,
LED[2]        , Output , PIN_R29     ,,,,,,,,,
LED[3]        , Output , PIN_P29     ,,,,,,,,,
LED[4]        , Output , PIN_N29     ,,,,,,,,,
LED[5]        , Output , PIN_M29     ,,,,,,,,,
LED[6]        , Output , PIN_M30     ,,,,,,,,,
LED[7]        , Output , PIN_N30     ,,,,,,,,,

SEG0[0]       , Output , PIN_L34     ,,,,,,,,,
SEG0[1]       , Output , PIN_M34     ,,,,,,,,,
SEG0[2]       , Output , PIN_M33     ,,,,,,,,,
SEG0[3]       , Output , PIN_H31     ,,,,,,,,,
SEG0[4]       , Output , PIN_J33     ,,,,,,,,,
SEG0[5]       , Output , PIN_L35     ,,,,,,,,,
SEG0[6]       , Output , PIN_K32     ,,,,,,,,,
SEG0[7]       , Output , PIN_AL34    ,,,,,,,,,

SEG1[0]       , Output , PIN_E31     ,,,,,,,,,
SEG1[1]       , Output , PIN_F31     ,,,,,,,,,
SEG1[2]       , Output , PIN_G31     ,,,,,,,,,
SEG1[3]       , Output , PIN_C34     ,,,,,,,,,
SEG1[4]       , Output , PIN_C33     ,,,,,,,,,
SEG1[5]       , Output , PIN_D33     ,,,,,,,,,
SEG1[6]       , Output , PIN_D34     ,,,,,,,,,
SEG1[7]       , Output , PIN_AL35    ,,,,,,,,,

OUT[0]        , Output , PIN_AW5     ,,,,,,,,,
OUT[1]        , Output , PIN_AW8     ,,,,,,,,,
OUT[2]        , Output , PIN_AW4     ,,,,,,,,,
OUT[3]        , Output , PIN_AV10    ,,,,,,,,,
OUT[4]        , Output , PIN_AV8     ,,,,,,,,,
OUT[5]        , Output , PIN_AW10    ,,,,,,,,,
OUT[6]        , Output , PIN_AU10    ,,,,,,,,,
OUT[7]        , Output , PIN_AU8     ,,,,,,,,,
OUT[8]        , Output , PIN_AP8     ,,,,,,,,,
OUT[9]        , Output , PIN_AT10    ,,,,,,,,,
OUT[10]       , Output , PIN_AU6     ,,,,,,,,,
OUT[11]       , Output , PIN_AT6     ,,,,,,,,,
OUT[12]       , Output , PIN_AU7     ,,,,,,,,,
OUT[13]       , Output , PIN_AR5     ,,,,,,,,,
OUT[14]       , Output , PIN_AP6     ,,,,,,,,,
OUT[15]       , Output , PIN_AT7     ,,,,,,,,,
OUT[16]       , Output , PIN_AN7     ,,,,,,,,,
OUT[17]       , Output , PIN_AN6     ,,,,,,,,,
OUT[18]       , Output , PIN_AL6     ,,,,,,,,,
OUT[19]       , Output , PIN_AM6     ,,,,,,,,,
OUT[20]       , Output , PIN_AL5     ,,,,,,,,,
OUT[21]       , Output , PIN_AL9     ,,,,,,,,,
OUT[22]       , Output , PIN_AK9     ,,,,,,,,,
OUT[23]       , Output , PIN_AJ6     ,,,,,,,,,
OUT[24]       , Output , PIN_AJ10    ,,,,,,,,,
OUT[25]       , Output , PIN_AH11    ,,,,,,,,,
OUT[26]       , Output , PIN_AH8     ,,,,,,,,,
OUT[27]       , Output , PIN_AH9     ,,,,,,,,,
OUT[28]       , Output , PIN_AG12    ,,,,,,,,,
OUT[29]       , Output , PIN_AH10    ,,,,,,,,,
OUT[30]       , Output , PIN_AF13    ,,,,,,,,,
OUT[31]       , Output , PIN_AE13    ,,,,,,,,,
OUT[32]       , Output , PIN_AE10    ,,,,,,,,,
OUT[33]       , Output , PIN_AP10    ,,,,,,,,,
OUT[34]       , Output , PIN_AE12    ,,,,,,,,,
OUT[35]       , Output , PIN_AE11    ,,,,,,,,,
