         ps       /tb_hybrid_control/HC_inst/o_sigma        /tb_hybrid_control/HC_inst/vC_32      /tb_hybrid_control/HC_inst/stheta        /tb_hybrid_control/HC_inst/jump             /tb_hybrid_control/HC_inst/z12                                 
          delta             /tb_hybrid_control/HC_inst/i_vC              /tb_hybrid_control/HC_inst/iC_32          /tb_hybrid_control/HC_inst/z1          /tb_hybrid_control/HC_inst/jump_1         /tb_hybrid_control/HC_inst/z22                    
                                   /tb_hybrid_control/HC_inst/i_iC                   /tb_hybrid_control/HC_inst/ctheta          /tb_hybrid_control/HC_inst/z2          /tb_hybrid_control/HC_inst/jump_2                                              
                                             /tb_hybrid_control/HC_inst/i_theta                                                             /tb_hybrid_control/HC_inst/sigma                                                                          
                                                                                                                                                 /tb_hybrid_control/HC_inst/s2                                                                        
          0  +0                                  StX      x      x            x            x            x            x            x            x            x            x 1 0            x            x            x            x 
          0  +1                                  St1      0   8191          314            0         8191            x            x        -1966         8191            x 1 0            x            x         1966         8191 
          0  +2                                  St1      0   8191          314            0         8191        -1000            2        -1966         8191     -8194932 1 0     -8187068      1982382         1966         8191 
     100000  +1                                  St1    257   8186          314          257         8186        -1000            2        -1709         8186     -8189418 1 0     -8181554      2239372         2223         8186 
     200000  +1                                  St1    514   8174          314          514         8174        -1000            2        -1452         8174     -8176904 1 0     -8169040      2496348         2480         8174 
     300000  +1                                  St1    770   8154          314          770         8154        -1000            2        -1196         8154     -8156392 1 0     -8148528      2752308         2736         8154 
     400000  +1                                  St1   1026   8126          314         1026         8126        -1000            2         -940         8126     -8127880 1 0     -8120016      3008252         2992         8126 
     500000  +1                                  St1   1281   8090          314         1281         8090        -1000            2         -685         8090     -8091370 1 0     -8083506      3263180         3247         8090 
     600000  +1                                  St1   1534   8045          314         1534         8045        -1000            2         -432         8045     -8045864 1 0     -8038000      3516090         3500         8045 
     700000  +1                                  St1   1786   7993          314         1786         7993        -1000            2         -180         7993     -7993360 1 0     -7985496      3767986         3752         7993 
     800000  +1                                  St1   2037   7933          314         2037         7933        -1000            2           71         7933     -7932858 1 0     -7924994      4018866         4003         7933 
     900000  +1                                  St1   2285   7865          314         2285         7865        -1000            2          319         7865     -7864362 1 0     -7856498      4266730         4251         7865 
    1000000  +1                                  St1   2531   7790          314         2531         7790        -1000            2          565         7790     -7788870 1 0     -7781006      4512580         4497         7790 
    1100000  +1                                  St1   2774   7706          314         2774         7706        -1000            2          808         7706     -7704384 1 0     -7696520      4755412         4740         7706 
    1200000  +1                                  St1   3015   7615          314         3015         7615        -1000            2         1049         7615     -7612902 1 0     -7605038      4996230         4981         7615 
    1300000  +1                                  St1   3253   7517          314         3253         7517        -1000            2         1287         7517     -7514426 1 0     -7506562      5234034         5219         7517 
    1400000  +1                                  St1   3487   7411          314         3487         7411        -1000            2         1521         7411     -7407958 1 0     -7400094      5467822         5453         7411 
    1500000  +1                                  St1   3718   7298          314         3718         7298        -1000            2         1752         7298     -7294496 1 0     -7286632      5698596         5684         7298 
