         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 0            x            x            x            x 0 
          0  +1                                 0   8191         1966         8191            x 0         1966         8191            x            x 0 
          0  +2                                 0   8191         1966         8191     -8187068 0         1966         8191     -8187068      1982382 0 
          0  +3                                 0   8191         1966         8191     -8187068 1         1966         8191     -8187068      1982382 0 
      10000  +2                                 0   8191        -1966         8191     -8194932 1         1966         8191     -8187068      1982382 0 
     100000  +1                               257   8186        -1709         8186     -8189418 1         2223         8186     -8181554      2239372 0 
     200000  +1                               514   8174        -1452         8174     -8176904 1         2480         8174     -8169040      2496348 0 
     300000  +1                               770   8154        -1196         8154     -8156392 1         2736         8154     -8148528      2752308 0 
     400000  +1                              1026   8126         -940         8126     -8127880 1         2992         8126     -8120016      3008252 0 
     500000  +1                              1281   8090         -685         8090     -8091370 1         3247         8090     -8083506      3263180 0 
     600000  +1                              1534   8045         -432         8045     -8045864 1         3500         8045     -8038000      3516090 0 
     700000  +1                              1786   7993         -180         7993     -7993360 1         3752         7993     -7985496      3767986 0 
     800000  +1                              2037   7933           71         7933     -7932858 1         4003         7933     -7924994      4018866 0 
     900000  +1                              2285   7865          319         7865     -7864362 1         4251         7865     -7856498      4266730 0 
    1000000  +1                              2531   7790          565         7790     -7788870 1         4497         7790     -7781006      4512580 0 
    1100000  +1                              2774   7706          808         7706     -7704384 1         4740         7706     -7696520      4755412 0 
    1200000  +1                              3015   7615         1049         7615     -7612902 1         4981         7615     -7605038      4996230 0 
    1300000  +1                              3253   7517         1287         7517     -7514426 1         5219         7517     -7506562      5234034 0 
    1400000  +1                              3487   7411         1521         7411     -7407958 1         5453         7411     -7400094      5467822 0 
    1500000  +1                              3718   7298         1752         7298     -7294496 1         5684         7298     -7286632      5698596 0 
    1600000  +1                              3946   7177         1980         7177     -7173040 1         5912         7177     -7165176      5926354 0 
    1700000  +1                              4169   7050         2203         7050     -7045594 1         6135         7050     -7037730      6149100 0 
    1800000  +1                              4388   6915         2422         6915     -6910156 1         6354         6915     -6902292      6367830 0 
    1900000  +1                              4604   6774         2638         6774     -6768724 1         6570         6774     -6760860      6583548 0 
    2000000  +1                              4814   6626         2848         6626     -6620304 1         6780         6626     -6612440      6793252 0 
    2100000  +1                              5020   6472         3054         6472     -6465892 1         6986         6472     -6458028      6998944 0 
    2200000  +1                              5221   6311         3255         6311     -6304490 1         7187         6311     -6296626      7199622 0 
    2300000  +1                              5416   6144         3450         6144     -6137100 1         7382         6144     -6129236      7394288 0 
    2400000  +1                              5607   5970         3641         5970     -5962718 1         7573         5970     -5954854      7584940 0 
    2500000  +1                              5791   5791         3825         5791     -5783350 1         7757         5791     -5775486      7768582 0 
    2600000  +1                              5970   5607         4004         5607     -5598992 1         7936         5607     -5591128      7947214 0 
    2700000  +1                              6144   5416         4178         5416     -5407644 1         8110         5416     -5399780      8120832 0 
    2800000  +1                              6311   5221         4345         5221     -5212310 1         8277         5221     -5204446      8287442 0 
    2900000  +1                              6472   5020         4506         5020     -5010988 1         8438         5020     -5003124      8448040 0 
    3000000  +1                              6626   4814         4660         4814     -4804680 1         8592         4814     -4796816      8601628 0 
    3100000  +1                              6774   4604         4808         4604     -4594384 1         8740         4604     -4586520      8749208 0 
    3200000  +1                              6915   4388         4949         4388     -4378102 1         8881         4388     -4370238      8889776 0 
    3300000  +1                              7050   4169         5084         4169     -4158832 1         9016         4169     -4150968      9024338 0 
    3400000  +1                              7177   3946         5211         3946     -3935578 1         9143         3946     -3927714      9150892 0 
    3500000  +1                              7298   3718         5332         3718     -3707336 1         9264         3718     -3699472      9271436 0 
    3600000  +1                              7411   3487         5445         3487     -3476110 1         9377         3487     -3468246      9383974 0 
    3700000  +1                              7517   3253         5551         3253     -3241898 1         9483         3253     -3234034      9489506 0 
    3800000  +1                              7615   3015         5649         3015     -3003702 1         9581         3015     -2995838      9587030 0 
    3900000  +1                              7706   2774         5740         2774     -2762520 1         9672         2774     -2754656      9677548 0 
    4000000  +1                              7790   2531         5824         2531     -2519352 1         9756         2531     -2511488      9761062 0 
    4100000  +1                              7865   2285         5899         2285     -2273202 1         9831         2285     -2265338      9835570 0 
    4200000  +1                              7933   2037         5967         2037     -2025066 1         9899         2037     -2017202      9903074 0 
    4300000  +1                              7993   1786         6027         1786     -1773946 1         9959         1786     -1766082      9962572 0 
    4400000  +1                              8045   1534         6079         1534     -1521842 1        10011         1534     -1513978     10014068 0 
    4500000  +1                              8090   1281         6124         1281     -1268752 1        10056         1281     -1260888     10058562 0 
    4600000  +1                              8126   1026         6160         1026     -1013680 1        10092         1026     -1005816     10094052 0 
    4700000  +1                              8154    770         6188          770      -757624 1        10120          770      -749760     10121540 0 
    4800000  +1                              8174    514         6208          514      -501584 1        10140          514      -493720     10141028 0 
    4900000  +1                              8186    257         6220          257      -244560 1        10152          257      -236696     10152514 0 
    5000000  +1                              8191      0         6225            0        12450 1        10157            0        20314     10157000 0 
    5000000  +2                              8191      0         6225            0        12450 0        10157            0        20314     10157000 0 
    5010000  +2                              8191      0        10157            0        20314 0        10157            0        20314     10157000 0 
    5100000  +1                              8186   -257        10152         -257       277304 0        10152         -257       277304     10151486 0 
    5200000  +1                              8174   -514        10140         -514       534280 0        10140         -514       534280     10138972 0 
    5300000  +1                              8154   -770        10120         -770       790240 0        10120         -770       790240     10118460 0 
    5400000  +1                              8126  -1026        10092        -1026      1046184 0        10092        -1026      1046184     10089948 0 
    5500000  +1                              8090  -1281        10056        -1281      1301112 0        10056        -1281      1301112     10053438 0 
    5600000  +1                              8045  -1534        10011        -1534      1554022 0        10011        -1534      1554022     10007932 0 
    5700000  +1                              7993  -1786         9959        -1786      1805918 0         9959        -1786      1805918      9955428 0 
