         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 1            x            x            x            x 1 
          0  +1                                 0      0        -1966            0            x 1        -1966            0            x            x 1 
          0  +2                                 0      0        -1966            0     -1384064 1        -1966            0      1384064      1395860 1 
     100000  +1                                 0     48        -1966           48     -1418144 1        -1966           48      1418144      1362068 1 
     200000  +1                                 2    112        -1964          112     -1462176 1        -1964          112      1462176      1315592 1 
     300000  +1                                 7    175        -1959          175     -1503386 1        -1959          175      1503386      1267690 1 
     400000  +1                                13    238        -1953          238     -1543892 1        -1953          238      1543892      1219078 1 
     500000  +1                                21    299        -1945          299     -1581570 1        -1945          299      1581570      1170454 1 
     600000  +1                                31    360        -1935          360     -1617840 1        -1935          360      1617840      1120410 1 
     700000  +1                                43    420        -1923          420     -1651992 1        -1923          420      1651992      1069650 1 
     800000  +1                                56    479        -1910          479     -1684730 1        -1910          479      1684730      1018884 1 
     900000  +1                                71    536        -1895          536     -1714640 1        -1895          536      1714640       968106 1 
    1000000  +1                                88    593        -1878          593     -1743142 1        -1878          593      1743142       915908 1 
    1100000  +1                               107    649        -1859          649     -1769526 1        -1859          649      1769526       862994 1 
    1200000  +1                               127    703        -1839          703     -1793786 1        -1839          703      1793786       810778 1 
    1300000  +1                               149    756        -1817          756     -1815928 1        -1817          756      1815928       757846 1 
    1400000  +1                               173    808        -1793          808     -1835952 1        -1793          808      1835952       704198 1 
    1500000  +1                               198    858        -1768          858     -1853852 1        -1768          858      1853852       651248 1 
    1600000  +1                               224    907        -1742          907     -1870338 1        -1742          907      1870338       598292 1 
    1700000  +1                               252    955        -1714          955     -1884706 1        -1714          955      1884706       544620 1 
    1800000  +1                               282   1002        -1684         1002     -1896956 1        -1684         1002      1896956       490232 1 
    1900000  +1                               312   1046        -1654         1046     -1907076 1        -1654         1046      1907076       437956 1 
    2000000  +1                               344   1090        -1622         1090     -1915788 1        -1622         1090      1915788       384260 1 
