# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Standard Edition
# File: C:\FPGA\Projects\DE4_DCC_HSMA.csv
# Generated on: Mon Jan 18 12:45:16 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADA_D[13],Input,PIN_AC26,2A,B2A_N0,PIN_AC26,2.5 V,,,,,
ADA_D[12],Input,PIN_AD26,2A,B2A_N0,PIN_AD26,2.5 V,,,,,
ADA_D[11],Input,PIN_AB27,2C,B2C_N0,PIN_AB27,2.5 V,,,,,
ADA_D[10],Input,PIN_AB28,2C,B2C_N0,PIN_AB28,2.5 V,,,,,
ADA_D[9],Input,PIN_AB30,2C,B2C_N0,PIN_AB30,2.5 V,,,,,
ADA_D[8],Input,PIN_AB31,2C,B2C_N0,PIN_AB31,2.5 V,,,,,
ADA_D[7],Input,PIN_AD27,2A,B2A_N0,PIN_AD27,2.5 V,,,,,
ADA_D[6],Input,PIN_AE27,2A,B2A_N0,PIN_AE27,2.5 V,,,,,
ADA_D[5],Input,PIN_AD28,2C,B2C_N0,PIN_AD28,2.5 V,,,,,
ADA_D[4],Input,PIN_AD29,2C,B2C_N0,PIN_AD29,2.5 V,,,,,
ADA_D[3],Input,PIN_AE28,2C,B2C_N0,PIN_AE28,2.5 V,,,,,
ADA_D[2],Input,PIN_AE29,2C,B2C_N0,PIN_AE29,2.5 V,,,,,
ADA_D[1],Input,PIN_AE26,2A,B2A_N0,PIN_AE26,2.5 V,,,,,
ADA_D[0],Input,PIN_AF26,2A,B2A_N0,PIN_AF26,2.5 V,,,,,
ADA_DCO,Input,PIN_AF34,2C,B2C_N0,PIN_AF34,2.5 V,,,,,
ADA_OE,Output,PIN_AG32,2C,B2C_N0,PIN_AG32,2.5 V,,,,,
ADA_OR,Input,PIN_AG31,2C,B2C_N0,PIN_AG31,2.5 V,,,,,
ADA_SPI_CS,Output,PIN_AG29,2A,B2A_N0,PIN_AG29,2.5 V,,,,,
ADB_D[13],Input,PIN_AC31,2C,B2C_N0,PIN_AC31,2.5 V,,,,,
ADB_D[12],Input,PIN_AC32,2C,B2C_N0,PIN_AC32,2.5 V,,,,,
ADB_D[11],Input,PIN_AJ32,2C,B2C_N0,PIN_AJ32,2.5 V,,,,,
ADB_D[10],Input,PIN_AK33,2C,B2C_N0,PIN_AK33,2.5 V,,,,,
ADB_D[9],Input,PIN_AH34,2C,B2C_N0,PIN_AH34,2.5 V,,,,,
ADB_D[8],Input,PIN_AH35,2C,B2C_N0,PIN_AH35,2.5 V,,,,,
ADB_D[7],Input,PIN_AJ34,2C,B2C_N0,PIN_AJ34,2.5 V,,,,,
ADB_D[6],Input,PIN_AJ35,2C,B2C_N0,PIN_AJ35,2.5 V,,,,,
ADB_D[5],Input,PIN_AK34,2C,B2C_N0,PIN_AK34,2.5 V,,,,,
ADB_D[4],Input,PIN_AK35,2C,B2C_N0,PIN_AK35,2.5 V,,,,,
ADB_D[3],Input,PIN_AN30,2A,B2A_N0,PIN_AN30,2.5 V,,,,,
ADB_D[2],Input,PIN_AP30,2A,B2A_N0,PIN_AP30,2.5 V,,,,,
ADB_D[1],Input,PIN_AM34,2C,B2C_N0,PIN_AM34,2.5 V,,,,,
ADB_D[0],Input,PIN_AM35,2C,B2C_N0,PIN_AM35,2.5 V,,,,,
ADB_DCO,Input,PIN_AE35,2C,B2C_N0,PIN_AE35,2.5 V,,,,,
ADB_OE,Output,PIN_AN31,2A,B2A_N0,PIN_AN31,2.5 V,,,,,
ADB_OR,Input,PIN_AM31,2A,B2A_N0,PIN_AM31,2.5 V,,,,,
ADB_SPI_CS,Output,PIN_AN33,2A,B2A_N0,PIN_AN33,2.5 V,,,,,
AD_SCLK,Bidir,PIN_AP34,2A,B2A_N0,PIN_AP34,2.5 V,,,,,
AD_SDIO,Bidir,PIN_AH29,2A,B2A_N0,PIN_AH29,2.5 V,,,,,
AIC_BCLK,Bidir,PIN_AK30,2A,B2A_N0,PIN_AK30,2.5 V,,,,,
AIC_DIN,Output,PIN_AL29,2A,B2A_N0,PIN_AL29,2.5 V,,,,,
AIC_DOUT,Input,PIN_AN32,2A,B2A_N0,PIN_AN32,2.5 V,,,,,
AIC_LRCIN,Bidir,PIN_AM29,2A,B2A_N0,PIN_AM29,2.5 V,,,,,
AIC_LRCOUT,Bidir,PIN_AP33,2A,B2A_N0,PIN_AP33,2.5 V,,,,,
AIC_SPI_CS,Output,PIN_AL30,2A,B2A_N0,PIN_AL30,2.5 V,,,,,
AIC_XCLK,Output,PIN_AT34,2A,B2A_N0,PIN_AT34,2.5 V,,,,,
BUTTON[3],Input,PIN_AG8,5C,B5C_N0,PIN_AG8,3.0-V PCI-X,,,,,
BUTTON[2],Input,PIN_AG7,5C,B5C_N0,PIN_AG7,3.0-V PCI-X,,,,,
BUTTON[1],Input,PIN_AG5,5C,B5C_N0,PIN_AG5,3.0-V PCI-X,,,,,
BUTTON[0],Input,PIN_AH5,5C,B5C_N0,PIN_AH5,3.0-V PCI-X,,,,,
CLKIN1,Input,PIN_AC34,2C,B2C_N0,PIN_AC34,2.5 V,,,,,
CLKOUT0,Output,PIN_AF29,2C,B2C_N0,PIN_AF29,2.5 V,,,,,
CPU_RESET_n,Input,PIN_V34,1C,B1C_N0,PIN_V34,2.5 V,,,,,
DA[13],Output,PIN_AC28,2C,B2C_N0,PIN_AC28,2.5 V,,,,,
DA[12],Output,PIN_AC29,2C,B2C_N0,PIN_AC29,2.5 V,,,,,
DA[11],Output,PIN_AJ29,2A,B2A_N0,PIN_AJ29,2.5 V,,,,,
DA[10],Output,PIN_AK29,2A,B2A_N0,PIN_AK29,2.5 V,,,,,
DA[9],Output,PIN_AD30,2C,B2C_N0,PIN_AD30,2.5 V,,,,,
DA[8],Output,PIN_AD31,2C,B2C_N0,PIN_AD31,2.5 V,,,,,
DA[7],Output,PIN_AK32,2A,B2A_N0,PIN_AK32,2.5 V,,,,,
DA[6],Output,PIN_AL32,2A,B2A_N0,PIN_AL32,2.5 V,,,,,
DA[5],Output,PIN_AG27,2A,B2A_N0,PIN_AG27,2.5 V,,,,,
DA[4],Output,PIN_AH27,2A,B2A_N0,PIN_AH27,2.5 V,,,,,
DA[3],Output,PIN_AK31,2A,B2A_N0,PIN_AK31,2.5 V,,,,,
DA[2],Output,PIN_AL31,2A,B2A_N0,PIN_AL31,2.5 V,,,,,
DA[1],Output,PIN_AJ31,2A,B2A_N0,PIN_AJ31,2.5 V,,,,,
