# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions
# and other software and tools, and any partner logic
# functions, and any output files from any of the foregoing
# (including device programming or simulation files), and any
# associated documentation or information are expressly subject
# to the terms and conditions of the Intel Program License
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Standard Edition
# File: C:\FPGA\Projects\PIN-DE4_DCC_HSMB.csv
# Generated on: Wed Jan 20 10:23:14 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
termination_blk0~_rup_pad,Unknown,PIN_AF25,3A,B3A_N0,1.8 V,,,,,
termination_blk0~_rdn_pad,Unknown,PIN_AG25,3A,B3A_N0,,,,,,
termination_blk0~_run_pad,Unknown,,,,1.8 V,,,,,
OSC_50_BANK2,Unknown,PIN_AC35,2C,B2C_N0,2.5 V,,,,,
OSC_50_BANK3,Unknown,PIN_AV22,3C,B3C_N0,1.8 V,,,,,
OSC_50_BANK4,Unknown,PIN_AV19,4C,B4C_N0,1.8 V,,,,,
OSC_50_BANK5,Unknown,PIN_AC6,5C,B5C_N0,3.0-V PCI-X,,,,,
OSC_50_BANK6,Unknown,PIN_AB6,6C,B6C_N0,2.5 V,,,,,
OSC_50_BANK7,Unknown,PIN_A19,7C,B7C_N0,1.8 V,,,,,
GCLKOUT_FPGA,Unknown,PIN_AH19,4C,B4C_N0,1.8 V,,,,,
GCLKIN,Unknown,PIN_A21,7C,B7C_N0,1.8 V,,,,,
PLL_CLKIN_p,Unknown,PIN_B22,8C,B8C_N0,LVDS,,,,PLL_CLKIN_p(n),
PLL_CLKIN_p(n),Unknown,,8C,B8C_N0,LVDS,,,,PLL_CLKIN_p,
LED[0],Unknown,PIN_V28,1C,B1C_N0,2.5 V,,,,,
