
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation

GPIO0_D0  , Output ,  PIN_AF6     ,,,,,,,,,
GPIO0_D1  , Output ,  PIN_AU9     ,,,,,,,,,
GPIO0_D2  , Output ,  PIN_AE5     ,,,,,,,,,
GPIO0_D3  , Output ,  PIN_AR8     ,,,,,,,,,
GPIO0_D4  , Output ,  PIN_AN9     ,,,,,,,,,
GPIO0_D5  , Output ,  PIN_AP9     ,,,,,,,,,
GPIO0_D6  , Output ,  PIN_AV5     ,,,,,,,,,
GPIO0_D7  , Output ,  PIN_AW6     ,,,,,,,,,
GPIO0_D8  , Output ,  PIN_AV7     ,,,,,,,,,
GPIO0_D9  , Output ,  PIN_AW7     ,,,,,,,,,
GPIO0_D10 , Output ,  PIN_AT5     ,,,,,,,,,
GPIO0_D11 , Output ,  PIN_AT8     ,,,,,,,,,
GPIO0_D12 , Output ,  PIN_AP5     ,,,,,,,,,
GPIO0_D13 , Output ,  PIN_AP7     ,,,,,,,,,
GPIO0_D14 , Output ,  PIN_AN5     ,,,,,,,,,
GPIO0_D15 , Output ,  PIN_AN10    ,,,,,,,,,
GPIO0_D16 , Output ,  PIN_AM5     ,,,,,,,,,
GPIO0_D17 , Output ,  PIN_AM10    ,,,,,,,,,
GPIO0_D18 , Output ,  PIN_AL10    ,,,,,,,,,
GPIO0_D19 , Output ,  PIN_AM8     ,,,,,,,,,
GPIO0_D20 , Output ,  PIN_AL8     ,,,,,,,,,
GPIO0_D21 , Output ,  PIN_AK8     ,,,,,,,,,
GPIO0_D22 , Output ,  PIN_AJ11    ,,,,,,,,,
GPIO0_D23 , Output ,  PIN_AK7     ,,,,,,,,,
GPIO0_D24 , Output ,  PIN_AJ5     ,,,,,,,,,
GPIO0_D25 , Output ,  PIN_AH12    ,,,,,,,,,
GPIO0_D26 , Output ,  PIN_AG10    ,,,,,,,,,
GPIO0_D27 , Output ,  PIN_AG13    ,,,,,,,,,
GPIO0_D28 , Output ,  PIN_AG9     ,,,,,,,,,
GPIO0_D29 , Output ,  PIN_AF11    ,,,,,,,,,
GPIO0_D30 , Output ,  PIN_AT9     ,,,,,,,,,
GPIO0_D31 , Output ,  PIN_AF10    ,,,,,,,,,
GPIO0_D32 , Output ,  PIN_AD10    ,,,,,,,,,
GPIO0_D33 , Output ,  PIN_AD9     ,,,,,,,,,
GPIO0_D34 , Output ,  PIN_AD12    ,,,,,,,,,
GPIO0_D35 , Output ,  PIN_AD13    ,,,,,,,,,

GPIO1_D0   , Output , PIN_AW5    ,,,,,,,,,
GPIO1_D1   , Output , PIN_AW8    ,,,,,,,,,
GPIO1_D2   , Output , PIN_AW4    ,,,,,,,,,
GPIO1_D3   , Output , PIN_AV10   ,,,,,,,,,
GPIO1_D4   , Output , PIN_AV8    ,,,,,,,,,
GPIO1_D5   , Output , PIN_AW10   ,,,,,,,,,
GPIO1_D6   , Output , PIN_AU10   ,,,,,,,,,
GPIO1_D7   , Output , PIN_AU8    ,,,,,,,,,
GPIO1_D8   , Output , PIN_AP8    ,,,,,,,,,
GPIO1_D9   , Output , PIN_AT10   ,,,,,,,,,
GPIO1_D10  , Output , PIN_AU6    ,,,,,,,,,
GPIO1_D11  , Output , PIN_AT6    ,,,,,,,,,
GPIO1_D12  , Output , PIN_AU7    ,,,,,,,,,
GPIO1_D13  , Output , PIN_AR5    ,,,,,,,,,  
GPIO1_D14  , Output , PIN_AP6    ,,,,,,,,,
GPIO1_D15  , Output , PIN_AT7    ,,,,,,,,,
GPIO1_D16  , Output , PIN_AN7    ,,,,,,,,,
GPIO1_D17  , Output , PIN_AN6    ,,,,,,,,,
GPIO1_D18  , Output , PIN_AL6    ,,,,,,,,,
GPIO1_D19  , Output , PIN_AM6    ,,,,,,,,,
GPIO1_D20  , Output , PIN_AL5    ,,,,,,,,,
GPIO1_D21  , Output , PIN_AL9    ,,,,,,,,,
GPIO1_D22  , Output , PIN_AK9    ,,,,,,,,,
GPIO1_D23  , Output , PIN_AJ6    ,,,,,,,,,
GPIO1_D24  , Output , PIN_AJ10   ,,,,,,,,, 
GPIO1_D25  , Output , PIN_AH11   ,,,,,,,,,
GPIO1_D26  , Output , PIN_AH8    ,,,,,,,,,
GPIO1_D27  , Output , PIN_AH9    ,,,,,,,,,
GPIO1_D28  , Output , PIN_AG12   ,,,,,,,,,
GPIO1_D29  , Output , PIN_AH10   ,,,,,,,,,
GPIO1_D30  , Output , PIN_AF13   ,,,,,,,,,
GPIO1_D31  , Output , PIN_AE13   ,,,,,,,,,
GPIO1_D32  , Output , PIN_AE10   ,,,,,,,,,
GPIO1_D33  , Output , PIN_AP10   ,,,,,,,,,
GPIO1_D34  , Output , PIN_AE12   ,,,,,,,,,
GPIO1_D35  , Output , PIN_AE11   ,,,,,,,,,


