
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation

LED_R[0]      , Output , PIN_AC28      ,,,,,,,,,
LED_R[1]      , Output , PIN_AJ29      ,,,,,,,,,
LED_R[2]      , Output , PIN_AD30      ,,,,,,,,,
LED_R[3]      , Output , PIN_AK32      ,,,,,,,,,
LED_R[4]      , Output , PIN_AG27      ,,,,,,,,,
LED_R[5]      , Output , PIN_AK31      ,,,,,,,,,
LED_R[6]      , Output , PIN_AJ31      ,,,,,,,,,
LED_R[7]      , Output , PIN_AL29      ,,,,,,,,,
LED_R[8]      , Output , PIN_AK30      ,,,,,,,,,
LED_R[9]      , Output , PIN_AG34      ,,,,,,,,,

LED_G[0]      , Output , PIN_AC29      ,,,,,,,,,
LED_G[1]      , Output , PIN_AK29      ,,,,,,,,,
LED_G[2]      , Output , PIN_AD31      ,,,,,,,,,
LED_G[3]      , Output , PIN_AL32      ,,,,,,,,,
LED_G[4]      , Output , PIN_AH27      ,,,,,,,,,
LED_G[5]      , Output , PIN_AL31      ,,,,,,,,,
LED_G[6]      , Output , PIN_AH30      ,,,,,,,,,
LED_G[7]      , Output , PIN_AM29      ,,,,,,,,,
LED_G[8]      , Output , PIN_AL30      ,,,,,,,,,
LED_G[9]      , Output , PIN_AG35      ,,,,,,,,,

VCC[0]      , Output , PIN_AP32      ,,,,,,,,,
VCC[1]      , Output , PIN_AR32      ,,,,,,,,,
VCC[2]      , Output , PIN_AR31      ,,,,,,,,,
VCC[3]      , Output , PIN_AT30      ,,,,,,,,,
VCC[4]      , Output , PIN_AT33      ,,,,,,,,,
VCC[5]      , Output , PIN_AU33      ,,,,,,,,,
VCC[6]      , Output , PIN_AK32      ,,,,,,,,,
VCC[7]      , Output , PIN_AL32      ,,,,,,,,,
VCC[8]      , Output , PIN_AG27      ,,,,,,,,,
VCC[9]      , Output , PIN_AH27      ,,,,,,,,,
VCC[10]     , Output , PIN_AK31      ,,,,,,,,,
VCC[11]     , Output , PIN_AL31      ,,,,,,,,,
VCC[12]     , Output , PIN_AP35      ,,,,,,,,,
VCC[13]     , Output , PIN_AR35      ,,,,,,,,,
VCC[14]     , Output , PIN_AN32      ,,,,,,,,,
VCC[15]     , Output , PIN_AP33      ,,,,,,,,,
VCC[16]     , Output , PIN_AT34      ,,,,,,,,,
VCC[17]     , Output , PIN_AR34      ,,,,,,,,,
VCC[18]     , Output , PIN_AF34      ,,,,,,,,,
VCC[19]     , Output , PIN_AE35      ,,,,,,,,,



OUT[1]       , Output , PIN_AF29      ,,,,,,,,,
OUT[2]       , Output , PIN_AC34      ,,,,,,,,,
OUT[3]       , Output , PIN_AC26      ,,,,,,,,,
OUT[4]       , Output , PIN_AC31      ,,,,,,,,,
OUT[5]       , Output , PIN_AD26      ,,,,,,,,,
OUT[6]       , Output , PIN_AC32      ,,,,,,,,,
OUT[7]       , Output , PIN_AB27      ,,,,,,,,,
OUT[8]       , Output , PIN_AJ32      ,,,,,,,,,
OUT[9]       , Output , PIN_AB28      ,,,,,,,,,
OUT[10]      , Output , PIN_AK33      ,,,,,,,,,
OUT[11]      , Output , PIN_AB30      ,,,,,,,,,
OUT[12]      , Output , PIN_AH34      ,,,,,,,,,
OUT[13]      , Output , PIN_AB31      ,,,,,,,,,
OUT[14]      , Output , PIN_AH35      ,,,,,,,,,
OUT[15]      , Output , PIN_AD27      ,,,,,,,,,
OUT[16]      , Output , PIN_AJ34      ,,,,,,,,,
OUT[17]      , Output , PIN_AE27      ,,,,,,,,,
OUT[18]      , Output , PIN_AJ35      ,,,,,,,,,
OUT[19]      , Output , PIN_AD28      ,,,,,,,,,
OUT[20]      , Output , PIN_AK34      ,,,,,,,,,
OUT[21]      , Output , PIN_AD29      ,,,,,,,,,
OUT[22]      , Output , PIN_AK35      ,,,,,,,,,
OUT[23]      , Output , PIN_AE28      ,,,,,,,,,
OUT[24]      , Output , PIN_AN30      ,,,,,,,,,
OUT[25]      , Output , PIN_AE29      ,,,,,,,,,
OUT[26]      , Output , PIN_AP30      ,,,,,,,,,
OUT[27]      , Output , PIN_AE26      ,,,,,,,,,
OUT[28]      , Output , PIN_AM34      ,,,,,,,,,
OUT[29]      , Output , PIN_AF26      ,,,,,,,,,
OUT[30]      , Output , PIN_AM35      ,,,,,,,,,
OUT[31]      , Output , PIN_AG31      ,,,,,,,,,
OUT[32]      , Output , PIN_AM31      ,,,,,,,,,
OUT[33]      , Output , PIN_AG32      ,,,,,,,,,
OUT[34]      , Output , PIN_AN31      ,,,,,,,,,
OUT[35]      , Output , PIN_AG29      ,,,,,,,,,
OUT[36]      , Output , PIN_AN33      ,,,,,,,,,
OUT[37]      , Output , PIN_AH29      ,,,,,,,,,
OUT[38]      , Output , PIN_AP34      ,,,,,,,,,
OUT[39]      , Output , PIN_AG28      ,,,,,,,,,
OUT[40]      , Output , PIN_AB34      ,,,,,,,,,
