
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation

OSC           , Input  , PIN_AB6     ,,,,,,,,,
CPU_RESET     , Input  , PIN_V34     ,,,,,,,,,
FAN_CTRL      , Output , PIN_AP20    ,,,,,,,,,

ADA_DATA[0]   , Input  , PIN_T12     ,,,,,,,,,
ADA_DATA[1]   , Input  , PIN_T13     ,,,,,,,,,
ADA_DATA[2]   , Input  , PIN_R11     ,,,,,,,,,
ADA_DATA[3]   , Input  , PIN_R12     ,,,,,,,,,
ADA_DATA[4]   , Input  , PIN_M12     ,,,,,,,,,
ADA_DATA[5]   , Input  , PIN_N12     ,,,,,,,,,
ADA_DATA[6]   , Input  , PIN_N10     ,,,,,,,,,
ADA_DATA[7]   , Input  , PIN_N11     ,,,,,,,,,
ADA_DATA[8]   , Input  , PIN_J10     ,,,,,,,,,
ADA_DATA[9]   , Input  , PIN_K10     ,,,,,,,,,
ADA_DATA[10]  , Input  , PIN_J9      ,,,,,,,,,
ADA_DATA[11]  , Input  , PIN_K9      ,,,,,,,,,
ADA_DATA[12]  , Input  , PIN_G10     ,,,,,,,,,
ADA_DATA[13]  , Input  , PIN_H10     ,,,,,,,,,

ADB_DATA[0]   , Input  , PIN_E10     ,,,,,,,,,
ADB_DATA[1]   , Input  , PIN_F10     ,,,,,,,,,
ADB_DATA[2]   , Input  , PIN_C7      ,,,,,,,,,
ADB_DATA[3]   , Input  , PIN_D7      ,,,,,,,,,
ADB_DATA[4]   , Input  , PIN_C8      ,,,,,,,,,
ADB_DATA[5]   , Input  , PIN_D8      ,,,,,,,,,
ADB_DATA[6]   , Input  , PIN_C9      ,,,,,,,,,
ADB_DATA[7]   , Input  , PIN_D9      ,,,,,,,,,
ADB_DATA[8]   , Input  , PIN_C10     ,,,,,,,,,
ADB_DATA[9]   , Input  , PIN_D10     ,,,,,,,,,
ADB_DATA[10]  , Input  , PIN_C5      ,,,,,,,,,
ADB_DATA[11]  , Input  , PIN_D5      ,,,,,,,,,
ADB_DATA[12]  , Input  , PIN_C6      ,,,,,,,,,
ADB_DATA[13]  , Input  , PIN_D6      ,,,,,,,,,

ADA_OR        , Input  , PIN_R13     ,,,,,,,,,
ADA_OE        , Output , PIN_P13     ,,,,,,,,,
